epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.55656,1.06808,2.96754,1.28155,0.77555,0.66667,0.90243,0.61229,1.52225,1.24003,1.32118,0,0,0
2,5.55935,1.14966,3.50753,1.49261,0.51837,0.93333,0.90324,0.61287,1.53154,1.24585,1.32637,1.17822e-06,1.17822e-06,1.17822e-06
3,7.90254,1.33631,2.96539,1.54134,0.50178,0.93333,0.90428,0.6129,1.55863,1.25086,1.33665,2.33288e-06,2.33288e-06,2.33288e-06
4,9.94608,1.33848,2.90039,1.57645,0.51197,0.94853,0.90492,0.60472,1.57605,1.25172,1.34633,3.46397e-06,3.46397e-06,3.46397e-06
5,12.0605,1.31136,2.51057,1.82727,0.5143,0.93333,0.90073,0.61199,1.59174,1.2532,1.35256,4.5715e-06,4.5715e-06,4.5715e-06
6,13.9493,1.18684,2.7699,1.51523,0.52377,0.93333,0.90065,0.61129,1.6029,1.26197,1.35741,5.65548e-06,5.65548e-06,5.65548e-06
7,15.7734,1.40414,2.66974,1.73944,0.53566,0.93333,0.90061,0.61153,1.6143,1.26541,1.36552,6.71588e-06,6.71588e-06,6.71588e-06
8,17.3309,1.17965,2.69526,1.53015,0.65336,0.75853,0.92862,0.59607,1.62886,1.27351,1.37476,7.75273e-06,7.75273e-06,7.75273e-06
9,18.9204,1.32742,3.40707,1.50624,0.65323,0.92206,0.92854,0.60442,1.63373,1.2833,1.38213,8.76602e-06,8.76602e-06,8.76602e-06
10,20.5775,1.23628,2.65684,1.44511,0.63778,0.92317,0.93115,0.60467,1.64462,1.28822,1.38865,9.75574e-06,9.75574e-06,9.75574e-06
11,22.1929,1.66028,3.00305,1.90097,0.64706,0.92212,0.9309,0.60465,1.65569,1.30255,1.39748,1.07219e-05,1.07219e-05,1.07219e-05
12,23.9226,0.92414,1.99391,1.40924,0.65017,0.91713,0.93105,0.60416,1.66998,1.31833,1.40661,1.16645e-05,1.16645e-05,1.16645e-05
13,25.5867,1.29332,2.74545,1.65754,0.64644,0.90905,0.93112,0.61509,1.6809,1.33809,1.41089,1.25835e-05,1.25835e-05,1.25835e-05
14,27.1923,1.44846,4.29122,1.78455,0.60699,0.9109,0.93079,0.61511,1.70127,1.36166,1.41949,1.3479e-05,1.3479e-05,1.3479e-05
15,28.9938,1.12012,3.27611,1.56189,0.58185,0.91839,0.9309,0.61465,1.71662,1.39362,1.42481,1.43509e-05,1.43509e-05,1.43509e-05
16,30.8115,1.15021,2.24834,1.5065,0.58916,0.91722,0.93405,0.61614,1.7288,1.40435,1.4346,1.51993e-05,1.51993e-05,1.51993e-05
17,32.727,0.95736,2.59102,1.43385,0.59744,0.89924,0.93277,0.61479,1.73723,1.42138,1.44141,1.60241e-05,1.60241e-05,1.60241e-05
18,34.6115,1.18082,2.5719,1.55208,0.59744,0.89924,0.93277,0.61479,1.73723,1.42138,1.44141,1.68253e-05,1.68253e-05,1.68253e-05
19,36.2625,1.18679,2.42221,1.44933,0.6215,0.76667,0.93299,0.61485,1.76205,1.45287,1.45958,1.7603e-05,1.7603e-05,1.7603e-05
20,37.8669,1.4915,2.62478,1.9115,0.6215,0.76667,0.93299,0.61485,1.76205,1.45287,1.45958,1.83571e-05,1.83571e-05,1.83571e-05
21,39.5686,1.11401,2.29584,1.40256,0.6458,0.76667,0.93405,0.59042,1.77448,1.45249,1.46663,1.90876e-05,1.90876e-05,1.90876e-05
22,41.4083,1.03992,2.09401,1.47363,0.6458,0.76667,0.93405,0.59042,1.77448,1.45249,1.46663,1.97946e-05,1.97946e-05,1.97946e-05
23,43.136,0.92597,1.83969,1.30979,0.65291,0.77753,0.93448,0.5881,1.78956,1.48221,1.47755,2.0478e-05,2.0478e-05,2.0478e-05
24,44.7672,1.37972,1.82097,1.67173,0.65291,0.77753,0.93448,0.5881,1.78956,1.48221,1.47755,2.11379e-05,2.11379e-05,2.11379e-05
25,46.511,1.03301,1.67024,1.3055,0.68842,0.60948,0.87935,0.5791,1.80279,1.50466,1.48369,2.17741e-05,2.17741e-05,2.17741e-05
26,48.2054,0.95084,1.61814,1.39799,0.68842,0.60948,0.87935,0.5791,1.80279,1.50466,1.48369,2.23869e-05,2.23869e-05,2.23869e-05
27,49.8986,0.90595,1.67171,1.21908,0.71529,0.60992,0.87949,0.57889,1.81715,1.5323,1.49292,2.2976e-05,2.2976e-05,2.2976e-05
28,51.9996,0.7796,1.41145,1.1714,0.71529,0.60992,0.87949,0.57889,1.81715,1.5323,1.49292,2.35417e-05,2.35417e-05,2.35417e-05
29,53.6534,1.10929,1.79168,1.43915,0.72932,0.44189,0.81368,0.57102,1.83296,1.55361,1.50962,2.40837e-05,2.40837e-05,2.40837e-05
30,55.3704,1.04115,2.05441,1.42731,0.72932,0.44189,0.81368,0.57102,1.83296,1.55361,1.50962,2.46022e-05,2.46022e-05,2.46022e-05
31,57.1073,0.90128,1.59461,1.37064,0.90717,0.41008,0.81383,0.5539,1.82636,1.57946,1.51215,2.50971e-05,2.50971e-05,2.50971e-05
32,58.7111,0.9266,1.76593,1.30517,0.90717,0.41008,0.81383,0.5539,1.82636,1.57946,1.51215,2.55685e-05,2.55685e-05,2.55685e-05
33,60.3938,0.97994,1.94144,1.26203,0.90603,0.41041,0.81431,0.53872,1.84804,1.61599,1.53766,2.60163e-05,2.60163e-05,2.60163e-05
34,61.9712,1.11992,2.03216,1.45422,0.90603,0.41041,0.81431,0.53872,1.84804,1.61599,1.53766,2.64405e-05,2.64405e-05,2.64405e-05
35,63.5963,0.84203,1.39262,1.26507,0.90448,0.41024,0.81492,0.54749,1.85713,1.62176,1.53709,2.68412e-05,2.68412e-05,2.68412e-05
36,65.6936,1.00836,1.28103,1.45846,0.90448,0.41024,0.81492,0.54749,1.85713,1.62176,1.53709,2.72183e-05,2.72183e-05,2.72183e-05
37,67.2766,0.57109,0.93249,1.05673,0.90078,0.40978,0.73271,0.44588,1.85309,1.6327,1.54074,2.75718e-05,2.75718e-05,2.75718e-05
38,68.8924,1.06482,1.25948,1.48389,0.90078,0.40978,0.73271,0.44588,1.85309,1.6327,1.54074,2.79018e-05,2.79018e-05,2.79018e-05
39,70.6623,0.86787,1.64247,1.22513,0.89936,0.40938,0.7353,0.45523,1.83667,1.6414,1.53703,2.82082e-05,2.82082e-05,2.82082e-05
40,72.3613,0.56861,1.23843,1.12324,0.89936,0.40938,0.7353,0.45523,1.83667,1.6414,1.53703,2.84911e-05,2.84911e-05,2.84911e-05
41,74.1433,0.86131,1.31275,1.24802,0.89637,0.40954,0.73301,0.45442,1.85161,1.6565,1.54077,2.87504e-05,2.87504e-05,2.87504e-05
42,77.067,1.26239,2.03225,1.65385,0.89637,0.40954,0.73301,0.45442,1.85161,1.6565,1.54077,2.89861e-05,2.89861e-05,2.89861e-05
43,78.8955,1.0573,2.20667,1.37788,0.89353,0.40969,0.73582,0.44796,1.84501,1.675,1.53906,2.91983e-05,2.91983e-05,2.91983e-05
44,80.9139,1.18496,1.78818,1.52778,0.89353,0.40969,0.73582,0.44796,1.84501,1.675,1.53906,2.93869e-05,2.93869e-05,2.93869e-05
45,82.6633,0.90661,1.35533,1.37428,0.89049,0.41011,0.73476,0.44762,1.8431,1.67138,1.54132,2.9552e-05,2.9552e-05,2.9552e-05
46,84.2875,0.79624,1.11239,1.10183,0.89049,0.41011,0.73476,0.44762,1.8431,1.67138,1.54132,2.96935e-05,2.96935e-05,2.96935e-05
47,86.4412,1.20224,1.49012,1.49673,0.88815,0.4102,0.70742,0.42002,1.85989,1.69185,1.54609,2.98114e-05,2.98114e-05,2.98114e-05
48,88.0784,0.84306,1.34881,1.27169,0.88815,0.4102,0.70742,0.42002,1.85989,1.69185,1.54609,2.99058e-05,2.99058e-05,2.99058e-05
49,89.6556,0.68701,1.19313,1.14205,0.88499,0.41085,0.68943,0.4139,1.87321,1.7468,1.551,2.99766e-05,2.99766e-05,2.99766e-05
50,91.2421,1.1003,1.283,1.48559,0.88499,0.41085,0.68943,0.4139,1.87321,1.7468,1.551,3.00238e-05,3.00238e-05,3.00238e-05
51,92.8517,0.90455,1.30276,1.15455,0.88576,0.41276,0.68154,0.40483,1.86117,1.75106,1.54652,3.00475e-05,3.00475e-05,3.00475e-05
52,94.4146,0.62375,0.99667,1.11055,0.88576,0.41276,0.68154,0.40483,1.86117,1.75106,1.54652,3.00476e-05,3.00476e-05,3.00476e-05
53,96.1707,0.88969,1.41569,1.29639,0.88576,0.41276,0.68154,0.40483,1.86117,1.75106,1.54652,3.00242e-05,3.00242e-05,3.00242e-05
54,97.7815,0.82819,1.10228,1.28394,0.88211,0.41626,0.66357,0.40082,1.8446,1.76736,1.54006,2.99772e-05,2.99772e-05,2.99772e-05
55,99.5187,0.90219,1.34824,1.32452,0.88211,0.41626,0.66357,0.40082,1.8446,1.76736,1.54006,2.99066e-05,2.99066e-05,2.99066e-05
56,101.225,1.02789,1.62614,1.36611,0.88211,0.41626,0.66357,0.40082,1.8446,1.76736,1.54006,2.98125e-05,2.98125e-05,2.98125e-05
57,102.828,0.96634,1.49217,1.35444,0.87628,0.41667,0.64814,0.38709,1.83921,1.78724,1.53681,2.96948e-05,2.96948e-05,2.96948e-05
58,104.355,0.68146,0.88013,1.13571,0.87628,0.41667,0.64814,0.38709,1.83921,1.78724,1.53681,2.95535e-05,2.95535e-05,2.95535e-05
59,105.904,0.98679,1.58949,1.50045,0.87628,0.41667,0.64814,0.38709,1.83921,1.78724,1.53681,2.93887e-05,2.93887e-05,2.93887e-05
60,107.492,0.83947,1.35602,1.31594,0.86906,0.41667,0.64877,0.38481,1.85252,1.82958,1.53859,2.92003e-05,2.92003e-05,2.92003e-05
61,109.179,0.80096,1.20233,1.20197,0.86906,0.41667,0.64877,0.38481,1.85252,1.82958,1.53859,2.89884e-05,2.89884e-05,2.89884e-05
62,111.238,0.97974,1.21599,1.46291,0.86906,0.41667,0.64877,0.38481,1.85252,1.82958,1.53859,2.87529e-05,2.87529e-05,2.87529e-05
63,113.363,0.87006,1.66529,1.21637,0.86542,0.41667,0.60721,0.36047,1.85693,1.83435,1.53827,2.84938e-05,2.84938e-05,2.84938e-05
64,115.564,0.84566,1.33056,1.30959,0.86542,0.41667,0.60721,0.36047,1.85693,1.83435,1.53827,2.82112e-05,2.82112e-05,2.82112e-05
65,117.701,0.96702,1.26535,1.25511,0.86542,0.41667,0.60721,0.36047,1.85693,1.83435,1.53827,2.7905e-05,2.7905e-05,2.7905e-05
66,122.29,0.90437,1.22406,1.30786,0.85909,0.41667,0.61473,0.36202,1.85774,1.86689,1.5405,2.75753e-05,2.75753e-05,2.75753e-05
67,125.164,0.96827,1.61034,1.35728,0.85909,0.41667,0.61473,0.36202,1.85774,1.86689,1.5405,2.7222e-05,2.7222e-05,2.7222e-05
68,127.649,0.77761,0.98647,1.22925,0.85909,0.41667,0.61473,0.36202,1.85774,1.86689,1.5405,2.68451e-05,2.68451e-05,2.68451e-05
69,129.744,0.72727,0.85136,1.21562,0.85243,0.41667,0.6165,0.36195,1.86501,1.88086,1.541,2.64447e-05,2.64447e-05,2.64447e-05
70,131.574,0.67369,0.86517,1.06754,0.85243,0.41667,0.6165,0.36195,1.86501,1.88086,1.541,2.60207e-05,2.60207e-05,2.60207e-05
